Num,Accurate Mass,Neutral Loss,Formula,Pos,Neg,Ion source,substructue or compound class
84,83.985,CO+CO+CO,C3O3,-,-,ESI/APCI,Anthraquinones
85,84.094,C3H6+C3H6,C6H12,-,-,ESI/APCI,Triazines
86,85.028,HCNO+CH2N2,C2H3N3O,-,+,ESI/APCI,Hydroxytriazines
87,85.988,NO+CO+CO,C2NO3,-,-,ESI/APCI,Nitroaromatics
88,87.032,C3H5NO2,C3H5NO2,-,+,ESI,Phosphatidylserines (PS)
89,87.991,NO+NO+CO,CN2O3,+,-,ESI/APCI,Nitroaromatics
90,90.032,C3H6O3,C3H6O3,+,-,ESI,Metal-monosaccharide complexes
91,91.967,CO+CO+HCl,C2HO2Cl,-,-,ESI/APCI,Chloroanthraquinones
92,91.986,NO2+NO2,N2O4,-,-,ESI/APCI,Nitroaromatics
93,93.960,SO2+NO,NO3S,-,+,ESI/APCI,Nitrosulfonic acids
94,97.977,H3PO4,H3PO4,+,-,ESI,Phophates (especially phosphoserine and phosphothreonine)
95,99.980,CO2+CO+CO,C3O4,+,-,ESI/APCI,Anthraquinone carboxylic acids
96,102.068,HC(=O)OC4H9,C5H10O2,+,-,ESI,Butylesters of most amino acids
97,103.986,NO+NO2+CO,CN2O4,+,-,ESI/APCI,Nitroaromatics
98,105.025,C3H7NOS,C3H7NOS,+,-,ESI,Alkylated methionine
99,107.050,tyrosine side-chain,C7H7O,-,+,ESI,Peptides with tyrosyl residue
100,108.058,tyrosine side-chain+hydrogen,C7H8O,+,-,ESI,Peptides with tyrosyl residue
101,109.011,phenylthio radical,C6H5S,+,-,ESI,Phenylthio compounds
102,111.980,4CO,4CO,+,-,ESI/APCI,Hydroxyanthraquinones
103,119.981,NO2+NO2+CO,CN2O5,+,-,ESI/APCI,Nitroaromatics
104,120.042,C4H8O4,C4H8O4,+,-,ESI,Metal-monosaccharide complexes
105,121.020,Cystein,C3H7NO2S,+,+,ESI/APCI,Cysteine conjugates
106,123.958,SO2+NO+NO,N2O4S,-,+,ESI/APCI,Nitrosulfonic acids
107,127.912,HI,HI,+,-,ESI,Aromatic iodides
108,129.043,Pyroglutamic acid,C5H7NO3,+,-,ESI/APCI,Aliphatic-GSH(glutathione conjugates)
109,129.043,C5H7NO3,C5H7NO3,-,+,ESI/APCI,N-Acetylcysteines
110,130.063,Anhydro-dideoxyhexose,C6H10O3,+,-,ESI,Dideoxyhexoside
111,132.042,Anhydro-pentose,C5H8O4,+,-,ESI,Pentoside
112,133.984,NO2+NO+NO+CO,CN3O5,-,+,ESI/APCI,"Nitroaromatics, trinitrocarboxylic acids"
113,141.019,C2H8O4NP,C2H8O4NP,+,-,ESI,Phosphatidylethanolamines (PE) or Lyso-PE 
114,146.058,Anhydro-deoxyhexose,C6H10O4,+,+,ESI,Deoxyhexoside
115,146.069,Glutamine,C5H10N2O3,+,-,ESI/APCI,Conjugate with gamma-GluCys or glutathione
116,154.003,C3H7O5P,C3H7O5P,+,-,ESI,Lysophosphatidic acids (Lyso-PA)
117,156.115,HNE,C9H16O2,+,-,ESI,4-hydroxy-2-nonenal (HNE)-containing peptides
118,161.069,Anhydro-aminodeoxyhexose,C6H11NO4,+,-,ESI,Aminodeoxyhexoside
119,162.053,Anhydrohexose,C6H10O5,+,-,ESI,Hexoside
120,163.030,acetylcysteine,C5H9NO3S,+,-,ESI/APCI,N-acetylcysteine conjugate
121,164.068,Rhamnose,C6H12O5,-,+,ESI,Rhamonoside
122,171.090,C8H13NO3,C8H13NO3,-,+,ESI,N-acetyl-L-lysine side chain
123,172.014,C3H9O6P,C3H9O6P,+,-,ESI,Lysophosphatidylglycerols (Lyso-PG)
124,176.026,CysGly(neg),C5H8N2O3S,-,+,ESI/APCI,Gly-cysteinyl
125,176.032,Anhydroglucuronic-acid,C6H8O6,+,+,ESI/APCI,Glucuronides
126,178.041,CysGly(pos),C5H10N2O3S,+,-,ESI/APCI,Gly-cysteinyl
127,179.079,C6H13NO5,C6H13NO5,+,-,ESI,Monogalactosyldiacylglycerols (MGDG)
128,185.009,C3H8NO6P,C3H8NO6P,+,-,ESI,Phosphatidylserines (PS)
129,189.040,C3H12NO6P,C3H12NO6P,+,-,ESI,Phosphatidylglycerols (PG)
130,194.043,Glucuronic-acid,C6H10O7,+,-,ESI/APCI,Glucuronides (benzylic)
131,197.045,C5H12NO5P,C5H12NO5P,-,+,ESI,Lysophosphatidylethanolamines (Lyso-PE)
132,203.079,Anhydro-N-acetylglucosamine,C8H13NO5,+,+,ESI/APCI,Conjugate with N-acetylglucosamine (benzylic)
133,221.090,N-acetylglucosamine,C8H15NO6,+,-,ESI/APCI,Conjugate with N-acetylglucosamine
134,225.077,C7H16NO5P,C7H16NO5P,-,+,ESI,Lysophosphatidylcholines (Lyso-PC)
135,228.040,C6H13O7P,C6H13O7P,-,+,ESI,Lysophosphatidylglycerols (Lyso-PG)
136,248.053,AnhydromalonylGlc,C9H12O8,+,-,ESI/APCI,Malonylglucuronides
137,250.062,gamma-GluCys,C8H14N2O5S,+,+,ESI/APCI,Conjugate with gamma-GluCys
138,260.030,C6H13O9P,C6H13O9P,+,-,ESI,Lysophosphatidylinositols (Lyso-PI)
139,261.028,C6H13O9S,C6H13O9S,+,-,ESI,Sulfoquinovosyldiacylglycerols (SQDG)
140,266.064,MalonylGlc,C9H14O9,+,-,ESI/APCI,Malonylglucuronides (benzylic)
141,273.096,γ-GluAlaGly-2H,C10H15N3O6,+,+,ESI,GSH(glutathione conjugates)
142,275.112,γ-GluAlaGly(pos),C10H17N3O6,+,-,ESI/APCI,Aryl-GSH(glutathione conjugates)
143,277.056,C6H16NO9P,C6H16NO9P,+,-,ESI,Phosphatidylinositols (PI)
144,306.076,Glutathione(neg),C10H16N3O6S,-,+,ESI,GSH(glutathione conjugates)
145,307.084,Glutathione,C10H17N3O6S,+,-,ESI/APCI,Glutathione conjugates
146,316.056,C9H17O10P,C9H17O10P,-,+,ESI,Lysophosphatidylinositols (Lyso-PI)
147,341.132,C12H23NO10,C12H23NO10,+,-,ESI,Digalactosyldiacylglycerols (DGDG)
